Month,Mean (mm),SD (mm),CV (%),Min (mm),Max (mm),MK trend Z,MK p-value,Sen slope,Significant
JAN,9.9,15.3,155.0,0.0,48.8,1.62,0.105,0.78,No
FEB,19.9,20.7,104.3,0.0,86.8,0.71,0.475,0.88,No
MAR,52.8,57.3,108.5,3.3,235.8,1.49,0.136,1.95,No
APR,173.2,125.6,72.5,52.2,546.7,0.45,0.65,3.57,No
MAY,329.8,134.2,40.7,133.2,625.7,2.66,0.008,14.58,Yes*
JUN,386.1,132.7,34.4,124.0,700.7,1.95,0.052,10.56,No
JUL,404.6,186.1,46.0,168.2,758.2,0.13,0.897,3.82,No
AUG,353.5,147.2,41.6,217.0,880.2,1.95,0.052,8.16,No
SEP,286.4,119.2,41.6,163.1,594.3,0.84,0.399,0.19,No
OCT,195.7,115.3,58.9,41.3,411.5,1.04,0.299,6.15,No
NOV,28.4,37.1,130.5,0.0,122.7,1.49,0.136,2.1,No
DEC,22.3,38.3,171.5,0.0,129.8,2.34,0.019,2.79,Yes*
