Rank,Ward,Risk score (mean),Risk score (max),Population,Hazard class,Vulnerability,Exposure
1,Ward No-63 (Part),0.9397,1.0,16039,High,0.9987,0.9975
2,Ward No-68 (part),0.9342,1.0,28669,High,0.9973,1.0
3,Dhania(part),0.9323,1.0,114844,High,0.9669,0.948
4,Ward No-69,0.9266,1.0,90669,High,0.9978,1.0
5,Ward No-42,0.9189,1.0,96934,High,0.9853,1.0
6,Ward No-35,0.9104,1.0,67378,High,0.9849,0.9932
7,Ward No-71 (Part),0.9098,1.0,56569,High,0.9917,1.0
8,Ward No-25,0.9066,1.0,94124,High,0.9616,0.931
9,Ward No-14 (part),0.9063,1.0,82434,High,0.9768,0.9566
10,Ward No-14 (part),0.8977,1.0,118751,High,0.9707,0.9497
